started: 2020.04.27 16:18:44
duration: 0:00:04.893530
------------
(15, 0, (2, 3))	| l indx: 5	| r nb: 12	| fail l: 2	| pass f: 3	| pass l: 12	| done: True
(15, 0, (3, 2))	| l indx: 7	| r nb: 12	| fail l: 0	| pass f: 1	| pass l: 12	| done: True
(15, 1, (2, 2))	| l indx: 4	| r nb: 12	| fail l: 5	| pass f: 1	| pass l: 12	| done: True
(15, 1, (3, 2))	| l indx: 0	| r nb: 12	| fail l: 0	| pass f: 1	| pass l: 12	| done: True
(15, 2, (2, 2))	| l indx: 3	| r nb: 12	| fail l: 0	| pass f: 1	| pass l: 12	| done: True
(15, 2, (2, 3))	| l indx: 8	| r nb: 12	| fail l: 0	| pass f: 1	| pass l: 12	| done: True
(15, 2, (3, 2))	| l indx: 2	| r nb: 12	| fail l: 0	| pass f: 1	| pass l: 12	| done: True
(15, 3, (2, 2))	| l indx: 6	| r nb: 12	| fail l: 7	| pass f: 2	| pass l: 12	| done: True
(15, 3, (2, 3))	| l indx: 1	| r nb: 12	| fail l: 0	| pass f: 1	| pass l: 12	| done: True
